NM_001001920	OR4C15
NM_001001921	OR5AS1
NM_001001922	OR52N5
NM_001001923	OR5C1
NM_001001924	MTUS1
NM_001001925	MTUS1
NM_001001928	PPARA
NM_001001931	MTUS1
NM_001001933	LHX8
NM_001001935	ATP5A1
NM_001001936	AFAP1L2
NM_001001937	ATP5A1
NM_001001938	C9orf47
NM_001001952	OR5D18
NM_001001953	OR10G9
NM_001001954	OR5A2
NM_001001955	OR4C13
NM_001001956	OR13C9
NM_001001957	OR2W3
NM_001001957	TRIM58
NM_001001958	OR7G3
NM_001001959	OR11L1
NM_001001960	OR5W2
NM_001001961	OR13C3
NM_001001963	OR2L8
NM_001001964	OR2T11
NM_001001965	OR4D5
NM_001001966	OR14A16
NM_001001967	OR5D13
NM_001001968	OR6S1
NM_001001971	FAM13C
NM_001001973	ATP5C1
NM_001001974	PLEKHA1
NM_001001975	ATP5D
NM_001001976	ATE1
NM_001001991	PAMR1
NM_001001992	USP16
NM_001001994	GPM6B
NM_001001995	GPM6B
NM_001001996	GPM6B
NM_001001998	EXOSC10
NM_001001	RPL36AL
NM_001002000	GMPR2
NM_001002001	GMPR2
NM_001002002	GMPR2
NM_001002006	NT5C1B
NM_001002009	NT5C3A
NM_001002010	NT5C3A
NM_001002017	HCFC1R1
NM_001002018	HCFC1R1
NM_001002019	PUS1
NM_001002020	PUS1
NM_001002021	n/a
NM_001002026	CLDN18
NM_001002027	ATP5G1
NM_001002029	n/a
NM_001002030	ECHDC1
NM_001002031	ATP5G2
NM_001002032	HN1
NM_001002033	HN1
NM_001002034	FAM109B
NM_001002035	DEFB108B
NM_001002036	ASTL
NM_001002231	KLK2
NM_001002235	SERPINA1
NM_001002236	SERPINA1
NM_001002243	AFTPH
NM_001002244	ANAPC11
NM_001002245	ANAPC11
NM_001002246	ANAPC11
NM_001002247	ANAPC11
NM_001002248	ANAPC11
NM_001002249	ANAPC11
NM_001002251	ARL6IP4
NM_001002252	ARL6IP4
NM_001002254	AWAT2
NM_001002255	SUMO4
NM_001002257	LCLAT1
NM_001002258	ATP5G3
NM_001002259	CAPRIN2
NM_001002261	ZFYVE27
NM_001002262	ZFYVE27
NM_001002264	EPSTI1
NM_001002269	EXOSC3
NM_001002273	FCGR2B
NM_001002274	FCGR2B
NM_001002275	FCGR2B
NM_001002292	WLS
NM_001002294	FMO3
NM_001002295	GATA3
NM_001002296	GOLGA7
NM_001002755	NFU1
NM_001002756	NFU1
NM_001002759	SFR1
NM_001002762	DNAJB12
NM_001002796	MCTP1
NM_001002800	SMC4
NM_001002810	LOC653513
NM_001002810	PDE4DIP
NM_001002811	PDE4DIP
NM_001002812	PDE4DIP
NM_001002814	RAB11FIP1
NM_001002836	ZNF787
NM_001002837	INPP5J
NM_001002838	WNK3
NM_001002841	MYL4
NM_001002843	ZNF280D
NM_001002844	ZNF280D
NM_001002857	ANXA2
NM_001002858	ANXA2
NM_001002860	BTBD7
NM_001002862	DERL3
NM_001002876	CENPM
NM_001002877	THOC5
NM_001002878	THOC5
NM_001002879	THOC5
NM_001002880	CBY1
NM_001002901	FCRLB
NM_001002905	OR8G1
NM_001002907	OR8K1
NM_001002909	GPATCH8
NM_001002911	GPR139
NM_001002913	PTRH1
NM_001002914	KCTD11
NM_001002915	IGFL2
NM_001002916	H2BFWT
NM_001002917	OR8D1
